season,Alpine,Arrows Cosworth,Aston Martin,Caterham Renault,Ferrari,Haas F1 Team,HRT Cosworth,Kick Sauber,McLaren,Mercedes,MRT Mercedes,Prost Acer,Racing Bulls,Red Bull Racing,Super Aguri Honda,Toyota,Williams
1995,1,8,6,Inf,3,Inf,Inf,7,4,9,Inf,5,10,Inf,Inf,Inf,2
1996,3,9,5,Inf,2,Inf,Inf,7,4,8,Inf,6,Inf,Inf,Inf,Inf,1
1997,3,8,5,Inf,2,Inf,Inf,7,4,10,Inf,6,Inf,9,Inf,Inf,1
1998,5,7,4,Inf,2,Inf,Inf,6,1,Inf,Inf,9,Inf,8,Inf,Inf,3
1999,6,10,3,Inf,1,Inf,Inf,8,2,Inf,Inf,7,9,4,Inf,Inf,5
2000,4,7,6,Inf,1,Inf,Inf,8,2,5,Inf,Inf,Inf,9,Inf,Inf,3
2001,7,10,5,Inf,1,Inf,Inf,4,2,6,Inf,9,Inf,8,Inf,Inf,3
2002,4,11,6,Inf,1,Inf,Inf,5,3,8,Inf,Inf,9,7,Inf,10,2
2003,4,Inf,9,Inf,1,Inf,Inf,6,3,5,Inf,Inf,10,7,Inf,8,2
2004,3,Inf,9,Inf,1,Inf,Inf,6,5,2,Inf,Inf,10,7,Inf,8,4
2005,1,Inf,9,Inf,3,Inf,Inf,8,2,6,Inf,Inf,10,7,Inf,4,5
2006,1,Inf,10,Inf,2,Inf,Inf,5,3,4,Inf,Inf,9,7,11,6,8
2007,3,Inf,10,Inf,1,Inf,Inf,2,Inf,8,Inf,Inf,7,5,9,6,4
2008,4,Inf,10,Inf,1,Inf,Inf,3,2,9,Inf,Inf,6,7,11,5,8
2009,8,Inf,9,Inf,4,Inf,Inf,6,3,1,Inf,Inf,10,2,Inf,5,7
2010,5,Inf,7,10,3,Inf,11,8,2,4,12,Inf,9,1,Inf,Inf,6
2011,5,Inf,6,10,3,Inf,11,7,2,4,12,Inf,8,1,Inf,Inf,9
2012,4,Inf,7,10,2,Inf,12,6,3,5,11,Inf,9,1,Inf,Inf,8
2013,4,Inf,6,11,3,Inf,Inf,7,5,2,10,Inf,8,1,Inf,Inf,9
2014,8,Inf,6,11,4,Inf,Inf,10,5,1,9,Inf,7,2,Inf,Inf,3
2015,6,Inf,5,Inf,2,Inf,Inf,8,9,1,10,Inf,7,4,Inf,Inf,3
2016,9,Inf,4,Inf,3,8,Inf,10,6,1,11,Inf,7,2,Inf,Inf,5
2017,6,Inf,4,Inf,2,8,Inf,10,9,1,Inf,Inf,7,3,Inf,Inf,5
2018,4,Inf,7,Inf,2,5,Inf,8,6,1,Inf,Inf,9,3,Inf,Inf,10
2019,5,Inf,7,Inf,2,9,Inf,8,4,1,Inf,Inf,6,3,Inf,Inf,10
2020,5,Inf,4,Inf,6,9,Inf,8,3,1,Inf,Inf,7,2,Inf,Inf,10
2021,5,Inf,7,Inf,3,10,Inf,9,4,1,Inf,Inf,6,2,Inf,Inf,8
2022,4,Inf,7,Inf,2,8,Inf,6,5,3,Inf,Inf,9,1,Inf,Inf,10
2023,6,Inf,5,Inf,3,10,Inf,9,4,2,Inf,Inf,8,1,Inf,Inf,7
2024,6,Inf,5,Inf,2,7,Inf,10,1,4,Inf,Inf,8,3,Inf,Inf,9
2025,10,Inf,7,Inf,4,8,Inf,9,1,2,Inf,Inf,6,3,Inf,Inf,5
